RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,2012-2013,124,0.19,139,0.21,263,0.39,DISTRICT TOTAL,15 MOUNTAIN RD,RAVENA,NY,12143
RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,2012-2013,74,0.19,72,0.19,146,0.38,ELEMENTARY,15 MOUNTAIN RD,RAVENA,NY,12143
RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT,2012-2013,50,0.18,67,0.24,117,0.41,MIDDLE/HIGH,15 MOUNTAIN RD,RAVENA,NY,12143
COHOES CITY SCHOOL DISTRICT,2012-2013,84,0.17,124,0.25,208,0.43,DISTRICT TOTAL,7 BEVAN ST,COHOES,NY,12047
COHOES CITY SCHOOL DISTRICT,2012-2013,58,0.16,89,0.25,147,0.41,ELEMENTARY,7 BEVAN ST,COHOES,NY,12047
COHOES CITY SCHOOL DISTRICT,2012-2013,26,0.20,35,0.27,61,0.47,MIDDLE/HIGH,7 BEVAN ST,COHOES,NY,12047
SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2012-2013,231,0.16,262,0.18,493,0.34,DISTRICT TOTAL,102 LORALEE DR,ALBANY,NY,12205
SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2012-2013,145,0.17,169,0.20,314,0.38,ELEMENTARY,102 LORALEE DR,ALBANY,NY,12205
SOUTH COLONIE CENTRAL SCHOOL DISTRICT,2012-2013,86,0.14,95,0.15,181,0.29,MIDDLE/HIGH,102 LORALEE DR,ALBANY,NY,12205
NORTH COLONIE CENTRAL SCHOOL DISTRICT,2012-2013,237,0.16,225,0.16,462,0.32,DISTRICT TOTAL,91 FIDDLERS LN,LATHAM,NY,12110
NORTH COLONIE CENTRAL SCHOOL DISTRICT,2012-2013,94,0.16,78,0.13,172,0.28,ELEMENTARY,91 FIDDLERS LN,LATHAM,NY,12110
NORTH COLONIE CENTRAL SCHOOL DISTRICT,2012-2013,143,0.17,147,0.17,290,0.34,MIDDLE/HIGH,91 FIDDLERS LN,LATHAM,NY,12110
GREEN ISLAND UNION FREE SCHOOL DISTRICT,2012-2013,12,0.18,19,0.28,31,0.46,DISTRICT TOTAL,171 HUDSON AVE,GREEN ISLAND,NY,12183
GREEN ISLAND UNION FREE SCHOOL DISTRICT,2012-2013,,,15,0.36,15,0.36,ELEMENTARY,171 HUDSON AVE,GREEN ISLAND,NY,12183
GREEN ISLAND UNION FREE SCHOOL DISTRICT,2012-2013,,,,,,,MIDDLE/HIGH,171 HUDSON AVE,GREEN ISLAND,NY,12183
GUILDERLAND CENTRAL SCHOOL DISTRICT,2012-2013,192,0.13,193,0.13,385,0.26,DISTRICT TOTAL,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085
GUILDERLAND CENTRAL SCHOOL DISTRICT,2012-2013,103,0.13,113,0.14,216,0.26,ELEMENTARY,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085
GUILDERLAND CENTRAL SCHOOL DISTRICT,2012-2013,89,0.14,80,0.12,169,0.26,MIDDLE/HIGH,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085
